云南移动IPTV,#genre#
CCTV-11,http://39.130.206.132:6410/gitv_live/CCTV-11/CCTV-11.m3u8
CCTV-12 HD,http://39.130.206.132:6410/gitv_live/G_CCTV-12-HD/G_CCTV-12-HD.m3u8
CCTV-12,http://39.130.206.132:6410/gitv_live/CCTV-12/CCTV-12.m3u8
CCTV-13,http://39.130.206.132:6410/gitv_live/CCTV-13/CCTV-13.m3u8
CCTV-14 HD,http://39.130.206.132:6410/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8
CCTV-14,http://39.130.206.132:6410/gitv_live/G_CCTV-14/G_CCTV-14.m3u8
CCTV-15,http://39.130.206.132:6410/gitv_live/G_CCTV-15/G_CCTV-15.m3u8
CCTV-17 HD,http://39.130.206.132:6410/gitv_live/G_CCTV-17-HD/G_CCTV-17-HD.m3u8
CCTV-17,http://39.130.206.132:6410/gitv_live/G_CCTV-17/G_CCTV-17.m3u8
湖南卫视HD,http://39.130.206.132:6410/gitv_live/HNWS-HD/HNWS-HD.m3u8
浙江卫视HD,http://39.130.206.132:6410/gitv_live/ZJWS-HD/ZJWS-HD.m3u8
江苏卫视HD,http://39.130.206.132:6410/gitv_live/G_JIANGSU-HD/G_JIANGSU-HD.m3u8
东方卫视HD,http://39.130.206.132:6410/gitv_live/DFWS-HD/DFWS-HD.m3u8
北京卫视HD,http://39.130.206.132:6410/gitv_live/BTV-1/BTV-1.m3u8
天津卫视HD,http://39.130.206.132:6410/gitv_live/G_TIANJIN-HD/G_TIANJIN-HD.m3u8
安徽卫视HD,http://39.130.206.132:6410/gitv_live/G_ANHUI-HD/G_ANHUI-HD.m3u8
山东卫视HD,http://39.130.206.132:6410/gitv_live/G_SHANDONG-HD/G_SHANDONG-HD.m3u8
江西卫视HD,http://39.130.206.132:6410/gitv_live/G_JIANGXI-HD/G_JIANGXI-HD.m3u8
广东卫视HD,http://39.130.206.132:6410/gitv_live/GDWS-HD/GDWS-HD.m3u8
深圳卫视HD,http://39.130.206.132:6410/gitv_live/SZWS-HD/SZWS-HD.m3u8
湖北卫视HD,http://39.130.206.132:6410/gitv_live/G_HUBEI-HD/G_HUBEI-HD.m3u8
黑龙江卫视,http://39.130.206.132:6410/gitv_live/G_HEILONGJIANG-HD/G_HEILONGJIANG-HD.m3u8
辽宁卫视HD,http://39.130.206.132:6410/gitv_live/G_LIAONING-HD/G_LIAONING-HD.m3u8
东南卫视HD,http://39.130.206.132:6410/gitv_live/G_DONGNAN-HD/G_DONGNAN-HD.m3u8
云南卫视HD,http://39.130.206.132:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
四川卫视HD,http://39.130.206.132:6410/gitv_live/G_SICHUAN-HD/G_SICHUAN-HD.m3u8
贵州卫视HD,http://39.130.206.132:6410/gitv_live/G_GUIZHOU-HD/G_GUIZHOU-HD.m3u8
重庆卫视HD,http://39.130.206.132:6410/gitv_live/G_CHONGQING-HD/G_CHONGQING-HD.m3u8
云南娱乐HD,http://39.130.206.132:6410/gitv_live/G_YNTV-3-HD/G_YNTV-3-HD.m3u8
云南生活资讯HD,http://39.130.206.132:6410/gitv_live/G_YNTV-4-HD/G_YNTV-4-HD.m3u8
云南影视HD,http://39.130.206.132:6410/gitv_live/G_YNTV-5-HD/G_YNTV-5-HD.m3u8
云南公共HD,http://39.130.206.132:6410/gitv_live/G_YNTV-6-HD/G_YNTV-6-HD.m3u8
金鹰纪实HD,http://39.130.206.132:6410/gitv_live/G_JINYINGJS-HD/G_JINYINGJS-HD.m3u8
上海纪实HD,http://39.130.206.132:6410/gitv_live/G_SHANGHAIJS-HD/G_SHANGHAIJS-HD.m3u8
北京纪实HD,http://39.130.206.132:6410/gitv_live/G_BEIJINGJS-HD/G_BEIJINGJS-HD.m3u8
CETV-1 HD,http://39.130.206.132:6410/gitv_live/G_CETV-1-HD/G_CETV-1-HD.m3u8
